Project_ID,Work description,Work category,Hon'ble Members of Parliament,Constituency,State,Recommended date,RECOMMENDED AMOUNT   ( ₹ ),Sanction Date,Sanction Amount ( ₹ ),Work Status,Fund Disbursed Amount ( ₹ ),Payment Status,Completion Date,Amount Disbursed ( ₹ ),riskScore,riskLevel
161227.0,construction of cc road from narasimhamurthy house to lakshmikanth house.,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,250000.0,2026-04-21,250000.0,Work partially Completed,249305.0,Payment Success,,,25,LOW
161229.0,installation of hi-mast light at bommekallu village.,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,499000.0,2025-05-07,499000.0,Work partially Completed,496192.0,Payment Success,,,25,LOW
161230.0,construction of cc road from munireddy house to shankar house.,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,499000.0,2026-07-29,499000.0,Work partially Completed,249500.0,Payment Success,,,5,LOW
161231.0,construction of cc road and drain from dinnamindapalli main road to bovi anjanappa residence.,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,499000.0,2025-11-26,499000.0,Work partially Completed,497035.0,Payment Success,,,25,LOW
161232.0,"renovation work and a revamped infrastructure of the molina smriti sishu siksha sadan at brahmapur sekh para, po: brahmapur, ps: bansdroni, kolkata 700096 under ward 111 in tollyganj ac under borough xi",repair and renovation,SAYANI GHOSH,JADAVPUR,West Bengal,2024-12-24,800000.0,2025-05-22,800000.0,Sanction,,,,,25,LOW
161233.0,construction of platform near saraswati mandir at village sursu harjalum under angara block.,normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,227400.0,2024-12-26,227400.0,Vendor Identification,227400.0,Payment Success,,,25,LOW
161234.0,"construction of shed at hethu burning ghat (graveyard)  under ward no.-50, ranchi.",normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,463600.0,2024-12-26,463600.0,Vendor Identification,463600.0,Payment Success,,,25,LOW
161235.0,"construction of pcc road at srinagar road no.-5, under ward no.-27, ranchi.",normal/others,Sanjay Seth,RANCHI,Jharkhand,2024-12-24,362000.0,2024-12-26,362000.0,Physical Inspection,362000.0,Payment Success,2026-04-03,362000,5,LOW
161236.0,beautification work of canal side area at natun bazar under ward 112 in tollyganj ac under borough xi,normal/others,SAYANI GHOSH,JADAVPUR,West Bengal,2024-12-24,800000.0,2025-09-12,800000.0,Time Estimation,,,,,25,LOW
161237.0,construction of cc road from y.kurupalli majara dinnamindhahalli village main road to shankarreddy house.,normal/others,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,499000.0,2025-05-07,499000.0,Work Completed,498016.0,Payment Success,2025-10-30,498016,5,LOW
161238.0,renovation work of kalitala fp school under ward no 113 in tollyganj ac under borough xi,repair and renovation,SAYANI GHOSH,JADAVPUR,West Bengal,2024-12-24,800000.0,2025-06-26,800000.0,Time Estimation,,,,,25,LOW
161239.0,di-silting of jinagalakunte pond.,repair and renovation,M. MALLESH BABU,KOLAR(SC),Karnataka,2025-01-07,499000.0,2025-05-07,499000.0,Work partially Completed,496614.0,Payment Success,,,25,LOW
